player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception,week,year
Adrian Phillips,9177,S,NE,1,1,5.0,50.0,100.0,16.0,8.0,0,0,1,25.0,19,66.3,65.0,76.8,,55.0,74.9,0,8.0,0.0,0,1,0,95.8,2,33,33,1,1,4,1,10,0,0.3,5.0,2,2022
Mike Pennel,9316,DI,CHI,1,0,,,9.1,,,0,0,0,,6,59.5,40.9,75.2,55.5,44.8,26.3,0,,,0,0,0,0.0,0,1,11,0,0,0,0,0,0,0.0,,2,2022
K'Waun Williams,9332,CB,DEN,1,1,0.7,100.0,97.1,10.7,10.7,0,0,0,0.0,10,75.2,72.2,75.4,59.0,57.6,81.4,0,7.0,0.0,0,0,0,79.2,3,34,35,1,2,3,0,7,5,0.2,2.3,2,2022
Dante Fowler Jr.,9436,ED,DAL,1,0,,,18.8,,,0,0,0,,9,61.0,92.8,75.6,92.9,66.7,71.2,0,,,0,0,0,0.0,0,3,16,1,0,0,0,0,0,0.0,,2,2022
Marcus Peters,9451,CB,BLT,1,0,11.6,85.7,100.0,6.2,5.3,0,0,1,14.3,3,44.2,44.5,76.4,,53.5,49.9,0,48.0,0.0,0,0,0,158.3,6,38,38,1,3,7,1,90,18,2.4,15.0,2,2022
Shaq Thompson,9458,LB,CAR,1,1,7.0,83.3,90.9,7.4,6.2,0,0,0,0.0,5,37.6,52.1,77.4,52.3,82.2,53.4,0,24.0,0.0,0,0,0,97.9,5,40,44,1,2,6,0,45,15,1.2,9.0,2,2022
Preston Smith,9471,ED,GB,1,0,,,12.5,,,0,0,0,,12,61.1,70.7,76.1,79.9,55.9,54.2,0,,,0,0,0,0.0,0,2,16,2,0,0,0,0,0,0.0,,2,2022
Eric Kendricks,9478,LB,MIN,1,1,11.5,50.0,97.7,37.0,18.5,0,0,0,0.0,18,46.0,53.3,75.8,71.6,64.2,28.8,0,12.0,42.9,3,0,0,68.8,1,42,43,1,3,2,0,12,3,0.3,12.0,2,2022
Eric Rowe,9480,S,MIA,1,0,11.1,85.7,100.0,3.8,3.3,0,0,0,0.0,17,40.1,41.7,75.0,,59.8,79.2,0,16.0,0.0,0,0,0,103.6,6,26,26,1,6,7,0,62,20,2.7,10.3,2,2022
Ronald Darby,9483,CB,DEN,1,0,19.2,20.0,97.7,40.0,8.0,0,0,1,20.0,10,67.8,68.0,77.7,60.0,64.3,32.4,0,20.0,50.0,1,0,0,43.8,1,42,43,0,1,5,0,20,2,0.5,20.0,2,2022
Markus Golden,9491,ED,ARZ,1,0,,,8.1,,,0,0,0,,1,42.4,57.7,77.9,61.3,62.8,69.9,0,,,0,0,0,0.0,0,3,37,0,0,0,0,0,0,0.0,,2,2022
Randy Gregory,9493,ED,DEN,1,0,,,10.7,,,0,0,0,,10,62.0,68.1,77.2,69.9,56.5,73.6,0,,,0,0,0,0.0,0,3,28,1,0,0,0,0,0,0.0,,2,2022
P.J. Williams,9511,S,NO,1,0,18.3,100.0,100.0,5.0,5.0,0,0,0,0.0,20,40.8,32.9,72.7,,51.7,77.3,0,28.0,0.0,0,0,0,158.3,3,16,16,0,1,3,1,51,4,3.4,17.0,2,2022
Jordan Hicks,9517,LB,MIN,1,0,5.3,75.0,97.0,9.7,7.3,0,0,0,0.0,18,35.6,33.5,73.9,60.0,48.2,31.2,1,24.0,33.3,1,0,0,77.1,3,32,33,1,2,4,0,66,45,2.3,22.0,2,2022
Danielle Hunter,9521,ED,MIN,1,0,,,3.0,,,0,0,0,,18,60.5,65.7,80.3,59.1,66.5,38.4,0,,0.0,0,0,0,0.0,0,1,33,1,1,0,0,0,0,0.0,,2,2022
Henry Anderson,9526,ED,CAR,1,0,,,7.7,,,0,0,0,,5,60.0,62.8,77.9,58.9,62.1,72.0,0,,,0,0,0,0.0,0,1,13,0,0,0,0,0,0,0.0,,2,2022
Steven Nelson,9531,CB,HST,1,0,15.0,0.0,100.0,,11.7,0,0,1,33.3,13,68.9,58.1,79.6,,33.2,64.3,0,,0.0,0,1,0,39.6,0,41,41,0,1,3,0,0,0,0.0,,2,2022
Za'Darius Smith,9555,ED,MIN,1,0,,,12.1,,,0,0,0,,18,61.8,78.3,78.6,65.7,78.2,73.9,0,,,0,0,0,0.0,0,4,33,0,0,0,0,0,0,0.0,,2,2022
Kwon Alexander,9557,LB,NYJ,1,0,3.0,100.0,81.3,6.5,6.5,0,0,0,0.0,22,39.1,49.6,71.6,57.3,68.2,54.7,0,15.0,20.0,1,0,0,114.6,2,13,16,1,4,2,0,23,17,1.8,11.5,2,2022
Damien Wilson,9560,LB,CAR,1,0,,,100.0,,,0,0,0,,5,77.4,76.3,71.2,,56.8,73.8,0,,0.0,0,0,0,0.0,0,2,2,1,1,0,0,0,0,0.0,,2,2022
Grady Jarrett,9570,DI,ATL,1,0,,,3.6,,,0,0,0,,2,60.0,46.5,77.8,60.5,42.5,22.9,0,,,0,0,0,0.0,0,1,28,0,0,0,0,0,0,0.0,,2,2022
Adrian Amos,9575,S,GB,1,0,,,100.0,,,0,0,0,,12,64.4,59.2,73.8,,51.9,50.9,0,,0.0,0,0,0,0.0,0,17,17,0,1,0,0,0,0,0.0,,2,2022
Bobby McCain,9578,S,WAS,1,1,44.0,0.0,97.2,,35.0,0,0,0,0.0,32,46.9,41.0,76.1,59.1,45.1,57.7,0,,0.0,0,0,0,39.6,0,35,36,0,2,1,0,0,0,0.0,,2,2022
David Mayo,9602,LB,WAS,1,0,15.0,100.0,100.0,6.0,6.0,0,0,0,0.0,32,36.5,35.7,69.4,,56.6,,0,25.0,,0,0,0,118.8,1,6,6,0,0,1,0,25,10,4.2,25.0,2,2022
Quandre Diggs,9633,S,SEA,1,1,18.5,50.0,100.0,25.0,12.5,0,1,0,0.0,29,69.5,71.9,78.2,,64.6,63.2,0,4.0,0.0,0,0,0,56.3,1,29,29,0,0,2,0,4,6,0.2,4.0,2,2022
Rakeem Nunez-Roches,9650,DI,TB,1,0,,,5.0,,,0,0,0,,30,60.0,55.4,76.5,55.9,56.9,69.1,0,,,0,0,0,0.0,0,1,20,0,0,0,0,0,0,0.0,,2,2022
Troy Hill,9881,CB,LA,1,0,16.0,100.0,90.0,4.0,4.0,0,0,0,0.0,26,34.2,47.3,74.1,69.5,62.1,71.7,0,39.0,0.0,0,0,0,118.8,2,9,10,0,1,2,0,52,20,6.5,26.0,2,2022
Dean Marlowe,9966,S,ATL,1,0,10.0,0.0,92.9,,13.0,0,0,0,0.0,2,71.1,73.0,71.3,60.0,62.4,,0,,,0,0,0,39.6,0,13,14,0,0,1,0,0,0,0.0,,2,2022
Alex Singleton,9994,LB,DEN,1,1,9.6,60.0,87.8,11.3,6.8,0,0,1,20.0,10,65.0,68.3,74.8,64.2,65.3,48.4,0,18.0,33.3,1,1,0,75.4,3,36,41,0,1,5,0,28,15,0.8,9.3,2,2022
Bryce Callahan,10000,CB,LAC,1,0,5.0,0.0,100.0,,31.0,0,0,0,0.0,27,62.9,60.0,74.7,,49.1,83.3,0,,0.0,0,0,1,39.6,0,34,34,0,2,1,0,0,0,0.0,,2,2022
Erik Harris,10346,CB,ATL,1,1,4.3,100.0,88.2,3.8,3.8,0,0,0,0.0,2,43.6,50.9,95.1,59.6,66.8,78.6,0,12.0,0.0,0,0,0,104.2,4,15,17,0,3,4,0,36,19,2.4,9.0,2,2022
Joey Bosa,10637,ED,LAC,1,1,5.0,100.0,2.9,1.0,1.0,1,0,0,0.0,27,55.3,83.9,6.2,90.4,72.0,73.3,0,21.0,0.0,0,0,1,118.8,1,1,35,0,0,1,0,21,16,21.0,21.0,2,2022
Jalen Ramsey,10639,CB,LA,1,0,11.6,40.0,91.4,14.5,5.8,0,0,1,20.0,26,78.1,76.7,78.7,56.7,67.4,45.6,1,11.0,0.0,0,1,1,51.3,2,32,35,0,1,5,1,19,14,0.7,9.5,2,2022
Leonard Floyd,10643,ED,LA,1,0,,,11.1,,,0,0,0,,26,63.8,67.0,78.3,71.1,53.2,28.5,0,,50.0,1,0,0,0.0,0,3,27,0,1,0,0,0,0,0.0,,2,2022
Eli Apple,10644,CB,CIN,1,0,11.5,100.0,100.0,8.5,8.5,0,0,0,0.0,7,29.9,36.3,75.2,,66.5,76.2,0,28.0,0.0,0,0,1,118.8,4,36,36,0,3,4,0,59,13,1.7,14.8,2,2022
William Jackson III,10658,CB,WAS,1,1,15.7,100.0,100.0,12.0,12.0,0,0,1,33.3,32,60.0,56.9,76.6,,45.5,77.0,0,49.0,0.0,0,1,0,158.3,3,36,36,0,1,3,1,80,40,2.2,26.7,2,2022
Myles Jack,10670,LB,PIT,1,3,3.8,75.0,87.9,9.7,7.3,0,0,0,0.0,25,64.8,66.2,75.0,49.9,66.8,69.2,0,9.0,0.0,0,0,0,83.3,3,29,33,1,4,4,0,18,17,0.6,6.0,2,2022
Xavien Howard,10672,CB,MIA,1,1,12.9,62.5,97.0,5.8,3.6,0,1,2,25.0,17,41.7,45.7,77.7,60.0,67.7,78.0,0,75.0,0.0,0,1,1,145.8,5,32,33,1,2,8,1,119,80,4.1,23.8,2,2022
Jihad Ward,10678,ED,NYG,1,0,-2.0,0.0,16.7,,6.0,0,0,0,0.0,21,76.8,44.2,0.0,46.9,48.2,74.5,0,,0.0,0,0,1,39.6,0,6,36,1,1,1,0,0,0,0.0,,2,2022
Vonn Bell,10695,S,CIN,1,0,,,97.2,,,0,0,0,,7,73.6,71.6,75.6,58.4,55.2,61.5,0,,0.0,0,0,0,0.0,0,35,36,1,4,0,0,0,0,0.0,,2,2022
James Bradberry,10696,CB,PHI,1,0,3.4,60.0,100.0,16.7,10.0,0,0,1,20.0,24,73.9,64.9,77.2,,28.1,27.0,0,11.0,50.0,1,1,0,65.4,3,52,52,1,1,5,0,16,12,0.3,5.3,2,2022
Kevin Byard,10698,S,TEN,1,1,5.0,100.0,95.3,12.7,12.7,0,0,0,0.0,31,42.8,40.4,76.0,71.9,52.7,83.9,0,16.0,0.0,0,0,0,106.9,3,41,43,1,5,3,0,29,14,0.8,9.7,2,2022
Carl Nassib,10699,ED,TB,1,0,,,33.3,,,0,0,0,,30,60.2,67.2,74.9,53.7,68.6,,0,,,0,0,0,0.0,0,2,6,0,0,0,0,0,0,0.0,,2,2022
Daryl Worley,10711,CB,BLT,1,0,,,75.0,,,0,0,0,,3,63.5,62.9,69.9,60.0,60.0,,0,,,0,0,0,0.0,0,3,4,0,0,0,0,0,0,0.0,,2,2022
Kendall Fuller,10718,CB,WAS,1,0,10.3,50.0,100.0,18.5,9.3,0,0,2,50.0,32,62.9,65.1,77.8,,68.7,78.1,0,23.0,0.0,0,2,0,118.8,2,37,37,0,2,4,1,34,3,0.9,17.0,2,2022
Nick Vigil,10721,LB,ARZ,1,0,6.8,80.0,93.8,3.5,2.8,0,0,0,0.0,1,28.1,27.6,72.9,60.0,47.8,51.5,0,20.0,0.0,0,0,0,108.3,4,15,16,1,3,5,0,50,36,3.6,12.5,2,2022
Eric Murray,10740,S,HST,1,0,,,100.0,,,0,0,0,,13,60.0,60.4,65.8,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,,2,2022
De'Vondre Campbell,10749,LB,GB,1,0,2.3,66.7,100.0,8.5,5.7,0,0,0,0.0,12,76.0,64.3,75.5,,51.8,51.3,0,7.0,0.0,0,0,0,77.1,2,17,17,1,1,3,0,14,12,0.8,7.0,2,2022
Deon Bush,10758,S,KC,1,0,,,100.0,,,0,0,0,,16,60.0,60.0,62.9,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,,2,2022
Matthew Judon,10780,ED,NE,1,0,11.0,0.0,6.5,,2.0,0,0,1,100.0,19,72.8,66.3,78.0,61.2,56.9,72.0,0,,,0,1,0,39.6,0,2,31,1,0,1,0,0,0,0.0,,2,2022
Anthony Brown,10823,CB,DAL,1,0,8.7,66.7,100.0,7.5,5.0,1,0,1,11.1,9,58.7,60.5,76.4,,65.2,52.6,0,19.0,25.0,1,1,1,118.8,6,46,46,2,3,9,1,52,25,1.2,8.7,2,2022
Kamu Grugier-Hill,10842,LB,HST,1,0,9.0,100.0,87.5,30.0,30.0,0,0,0,0.0,13,63.8,43.6,78.2,54.6,30.6,77.6,0,20.0,,0,0,0,118.8,1,35,40,0,0,1,0,20,11,0.7,20.0,2,2022
Elandon Roberts,10848,LB,MIA,1,1,,,100.0,,,0,0,0,,17,59.1,67.7,74.8,,70.3,40.5,0,,25.0,1,0,0,0.0,0,18,18,0,2,0,0,0,0,0.0,,2,2022
Jalen Mills,10867,CB,NE,1,3,12.0,70.0,100.0,4.9,3.4,0,0,1,10.0,19,28.6,29.2,77.9,,63.5,80.2,1,23.0,0.0,0,0,0,58.3,7,35,35,0,4,10,0,90,19,2.6,12.9,2,2022
Mike Hilton,10898,CB,CIN,1,0,1.1,42.9,93.3,9.0,3.9,0,1,1,14.3,7,78.5,71.5,0.0,55.0,67.5,81.2,0,15.0,0.0,0,1,1,50.9,3,28,30,0,2,7,0,22,17,0.8,7.3,2,2022
Matthias Farley,10953,S,LV,1,0,,,100.0,,,0,0,0,,23,60.2,60.3,65.4,,,,0,,,0,0,0,0.0,0,3,3,0,0,0,0,0,0,0.0,,2,2022
Cory Littleton,11190,LB,CAR,1,1,1.0,100.0,100.0,2.0,2.0,0,0,0,0.0,5,76.7,75.8,68.0,,54.5,76.0,0,1.0,0.0,0,0,0,79.2,1,2,2,0,0,1,0,1,0,0.5,1.0,2,2022
Jonathan Jones,11217,CB,NE,1,0,,,100.0,,,0,0,0,,19,70.1,70.8,76.0,,65.2,73.3,0,,,0,0,0,0.0,0,30,30,0,0,0,0,0,0,0.0,,2,2022
Marshon Lattimore,11766,CB,NO,1,1,18.3,50.0,100.0,13.0,6.5,1,0,1,25.0,20,72.0,65.2,0.0,,64.2,76.8,0,10.0,0.0,0,1,1,61.5,2,27,27,0,1,4,0,17,5,0.7,8.5,2,2022
Haason Reddick,11768,ED,PHI,1,0,4.0,100.0,12.1,2.0,2.0,0,0,1,50.0,24,51.5,63.9,77.8,70.4,55.1,24.9,0,17.0,50.0,1,1,0,118.8,2,4,33,0,1,2,0,25,17,6.3,12.5,2,2022
Malik Hooker,11770,S,DAL,1,0,,,100.0,,,0,0,0,,9,67.8,71.9,80.3,,66.8,86.0,0,,0.0,0,0,0,0.0,0,46,46,1,5,0,0,0,0,0.0,,2,2022
Marlon Humphrey,11771,CB,BLT,1,2,3.3,66.7,100.0,9.5,6.3,0,0,0,0.0,3,53.5,60.5,77.4,,86.6,60.1,0,12.0,20.0,1,0,0,75.0,4,40,40,1,2,6,0,25,20,0.7,6.3,2,2022
Adoree' Jackson,11773,CB,NYG,1,0,5.5,0.0,100.0,,9.0,0,0,1,25.0,21,65.4,67.2,77.5,,69.3,29.6,0,,100.0,1,1,1,39.6,0,40,40,0,0,4,0,0,0,0.0,,2,2022
Charles Harris,11777,ED,DET,1,1,14.0,100.0,13.2,5.0,5.0,0,0,0,0.0,11,54.2,49.8,81.5,75.6,30.3,71.2,0,15.0,0.0,0,0,0,158.3,1,5,38,1,0,1,1,15,1,3.0,15.0,2,2022
Jabrill Peppers,11780,S,NE,1,0,-1.5,100.0,92.3,5.5,5.5,0,0,0,0.0,19,66.4,75.1,70.5,63.8,63.1,76.0,0,2.0,0.0,0,0,0,79.2,2,12,13,2,2,2,0,2,5,0.2,1.0,2,2022
Budda Baker,11791,S,ARZ,1,0,,,90.9,,,0,0,0,,1,55.2,63.0,79.8,56.1,79.1,62.1,0,,50.0,1,0,0,0.0,0,40,44,0,1,0,0,0,0,0.0,,2,2022
Marcus Maye,11794,S,NO,1,0,,,100.0,,,0,0,0,,20,63.5,70.3,79.1,,72.9,80.9,0,,,0,0,0,0.0,0,33,33,0,0,0,0,0,0,0.0,,2,2022
Marcus Williams,11797,S,BLT,1,1,9.3,50.0,100.0,25.5,12.8,0,1,0,0.0,3,74.9,77.5,81.2,,59.5,57.6,2,15.0,20.0,2,0,0,26.0,2,53,53,1,7,4,0,21,30,0.4,10.5,2,2022
Justin Evans,11805,CB,NO,1,0,6.4,100.0,93.9,4.3,4.3,0,0,0,0.0,20,34.1,41.4,76.6,55.5,71.7,57.4,0,41.0,16.7,1,0,0,118.8,7,31,33,2,5,7,0,93,48,3.1,13.3,2,2022
Raekwon McMillan,11809,LB,NE,1,0,,,90.9,,,0,0,0,,19,50.5,49.1,73.2,58.5,60.0,,0,,,0,0,0,0.0,0,10,11,0,0,0,0,0,0,0.0,,2,2022
Zach Cunningham,11812,LB,TEN,1,0,3.7,66.7,89.2,15.5,10.3,0,0,1,33.3,31,69.1,76.8,75.4,68.6,73.1,57.2,0,11.0,33.3,1,0,0,113.9,2,33,37,1,2,3,1,12,14,0.4,6.0,2,2022
Chidobe Awuzie,11815,CB,CIN,1,0,9.7,42.9,100.0,11.3,4.9,0,0,0,0.0,7,62.6,65.7,78.2,,73.5,60.8,0,12.0,20.0,1,0,0,50.3,3,36,36,1,4,7,0,16,7,0.5,5.3,2,2022
Josh Jones,11816,S,SEA,1,1,4.3,50.0,89.7,11.0,5.5,0,0,0,0.0,29,54.7,64.8,74.2,67.6,71.8,29.6,0,25.0,66.7,2,0,0,75.0,2,26,29,0,0,4,0,30,21,1.4,15.0,2,2022
Ahkello Witherspoon,11821,CB,PIT,1,0,14.4,80.0,100.0,9.5,7.6,0,0,0,0.0,25,44.9,47.0,77.9,,59.0,52.6,0,44.0,0.0,0,0,0,158.3,4,40,40,0,2,5,1,67,7,1.8,16.8,2,2022
Duke Riley,11830,LB,MIA,1,0,-2.0,100.0,69.2,9.0,9.0,0,0,0,0.0,17,66.6,67.2,74.4,55.3,64.7,76.8,0,3.0,0.0,0,0,0,79.2,1,9,13,0,1,1,0,3,5,0.3,3.0,2,2022
Alex Anzalone,11831,LB,DET,1,1,-0.3,75.0,89.6,13.7,10.3,0,0,0,0.0,11,62.5,63.5,75.8,62.2,60.8,32.6,0,8.0,25.0,1,0,0,82.3,3,43,48,1,2,4,0,17,12,0.4,5.7,2,2022
Fabian Moreau,11836,CB,NYG,1,0,22.0,0.0,100.0,,10.0,0,0,0,0.0,21,67.5,69.5,73.1,,66.9,75.4,0,,,0,0,0,39.6,0,13,13,0,0,1,0,0,0,0.0,,2,2022
Shaquill Griffin,11845,CB,JAX,1,0,13.2,50.0,100.0,11.7,5.8,0,0,2,33.3,15,78.1,77.7,77.1,,65.4,78.7,0,10.0,0.0,0,1,0,59.0,3,36,36,0,3,6,0,22,8,0.6,7.3,2,2022
Jourdan Lewis,11846,CB,DAL,1,1,6.0,66.7,97.7,21.0,14.0,0,0,0,0.0,9,51.3,53.8,77.2,60.0,66.2,80.7,0,17.0,0.0,0,0,0,103.5,2,43,44,0,2,3,0,33,14,0.8,16.5,2,2022
John Johnson III,11847,S,CLV,1,0,28.3,0.0,100.0,,16.0,0,0,1,33.3,8,62.2,62.5,79.8,,59.1,61.0,0,,0.0,0,1,0,39.6,0,50,50,0,4,3,0,0,0,0.0,,2,2022
Cameron Sutton,11850,CB,PIT,1,0,10.6,75.0,100.0,6.3,4.8,0,1,1,12.5,25,51.5,49.1,77.5,,43.9,38.4,0,25.0,25.0,1,1,0,110.4,6,40,40,2,3,8,0,88,33,2.3,14.7,2,2022
Rasul Douglas,11854,CB,GB,1,0,-5.0,100.0,100.0,13.0,13.0,0,0,0,0.0,12,82.1,60.9,73.3,,28.0,81.2,0,-4.0,0.0,0,0,0,79.2,1,13,13,2,2,1,0,-4,1,-0.3,-4.0,2,2022
Trey Hendrickson,11858,ED,CIN,1,0,,,14.7,,,0,0,0,,7,63.9,55.6,79.2,65.5,42.5,69.2,0,,,0,0,0,0.0,0,5,34,0,0,0,0,0,0,0.0,,2,2022
Eddie Jackson,11867,S,CHI,1,0,-2.0,100.0,100.0,29.0,29.0,0,0,0,0.0,6,47.9,53.1,77.0,,71.8,77.3,0,-1.0,14.3,1,0,0,79.2,1,30,30,2,6,1,0,-1,1,0.0,-1.0,2,2022
Rayshawn Jenkins,11868,S,JAX,1,0,13.6,80.0,94.4,8.3,6.6,0,0,2,40.0,15,58.5,51.6,74.6,70.7,39.3,26.0,1,39.0,50.0,2,1,0,79.2,4,34,36,1,2,5,0,70,15,2.1,17.5,2,2022
Carl Lawson,11871,ED,NYJ,1,0,,,4.3,,,0,0,0,,22,60.0,68.1,80.4,80.6,44.7,24.5,0,,,0,0,0,0.0,0,1,23,0,0,0,0,0,0,0.0,,2,2022
Jalen Reeves-Maybin,11879,LB,HST,1,0,,,100.0,,,0,0,0,,13,60.0,61.5,64.3,,60.0,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,,2,2022
Deatrich Wise Jr.,11886,ED,NE,1,0,,,5.9,,,0,0,0,,19,65.2,77.5,80.8,57.8,81.0,72.4,0,,0.0,0,0,0,0.0,0,2,34,1,1,0,0,0,0,0.0,,2,2022
Desmond King II,11906,CB,HST,1,0,6.5,0.0,100.0,,8.5,0,0,1,50.0,13,66.7,65.9,75.8,,60.2,29.7,0,,,0,1,1,39.6,0,21,21,0,0,2,0,0,0,0.0,,2,2022
Jayon Brown,11910,LB,LV,1,0,2.4,100.0,100.0,8.4,8.4,0,0,0,0.0,23,51.6,56.4,74.8,,65.9,82.9,0,21.0,0.0,0,0,0,100.8,5,46,46,2,5,5,0,41,29,1.0,8.2,2,2022
Anthony Walker,11916,LB,CLV,1,0,3.7,50.0,89.2,10.3,5.2,0,0,2,33.3,8,91.0,91.6,83.6,67.5,68.9,55.7,0,9.0,0.0,0,1,0,56.3,3,33,37,2,2,6,0,9,10,0.3,3.0,2,2022
Matt Milano,11918,LB,BUF,1,0,4.3,33.3,92.6,23.0,7.7,0,1,0,0.0,4,93.8,94.5,72.9,56.5,75.3,76.0,1,16.0,0.0,0,0,0,12.5,1,25,27,1,1,3,0,16,13,0.7,16.0,2,2022
Chuck Clark,11941,S,BLT,1,0,1.5,75.0,92.5,15.7,11.8,0,0,0,0.0,3,64.3,60.3,75.5,53.4,48.8,80.8,0,13.0,0.0,0,0,0,83.3,3,49,53,1,5,4,0,18,17,0.4,6.0,2,2022
Xavier Woods,11946,S,CAR,1,1,9.0,100.0,93.5,13.3,13.3,0,0,0,0.0,5,59.2,69.4,77.3,68.4,82.2,84.3,0,15.0,0.0,0,0,0,111.1,3,43,46,1,4,3,0,32,5,0.8,10.7,2,2022
Tanner Vallejo,11950,LB,ARZ,1,0,-4.0,100.0,88.9,7.0,7.0,0,0,0,0.0,1,51.6,58.8,70.7,58.9,67.5,71.4,0,12.0,0.0,0,0,0,116.7,1,8,9,0,1,1,0,12,16,1.7,12.0,2,2022
Arthur Maulet,12224,CB,PIT,1,0,9.0,100.0,100.0,3.0,3.0,0,0,0,0.0,25,60.2,39.4,70.5,,29.4,27.5,0,10.0,0.0,0,0,0,108.3,1,3,3,0,1,1,0,10,1,3.3,10.0,2,2022
Joe Jones,12321,LB,TEN,1,0,,,100.0,,,0,0,0,,31,60.0,42.1,74.0,,43.7,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,,2,2022
Sione Takitaki,12666,LB,CLV,1,0,,,71.4,,,0,0,0,,8,70.9,79.9,70.4,69.0,68.0,71.7,0,,,0,0,0,0.0,0,5,7,0,0,0,0,0,0,0.0,,2,2022
Sam Eguavoen,15301,LB,MIA,1,0,5.0,100.0,100.0,1.0,1.0,0,0,0,0.0,17,60.0,46.1,66.6,,75.3,75.7,0,1.0,,0,0,0,118.8,1,1,1,0,0,1,1,1,0,1.0,1.0,2,2022
Foyesade Oluokun,24904,LB,JAX,1,0,5.0,66.7,88.9,15.5,10.3,0,0,0,0.0,15,80.7,83.2,71.0,68.8,65.7,79.9,0,9.0,0.0,0,0,0,81.3,2,32,36,2,4,3,0,17,5,0.5,8.5,2,2022
Levi Wallace,25445,CB,PIT,1,0,9.3,66.7,100.0,8.8,5.8,0,0,0,0.0,25,52.4,54.6,78.9,,64.0,33.1,0,16.0,50.0,1,0,0,87.5,4,37,37,0,1,6,0,43,10,1.2,10.8,2,2022
Anfernee Jennings,25449,ED,NE,1,0,,,16.7,,,0,0,0,,19,60.0,70.9,72.7,53.7,72.4,72.4,0,,,0,0,0,0.0,0,1,6,0,0,0,0,0,0,0.0,,2,2022
Clelin Ferrell,25955,ED,LV,1,0,,,14.3,,,0,0,0,,23,60.0,60.4,76.0,52.3,54.3,,0,,,0,0,0,0.0,0,2,14,0,0,0,0,0,0,0.0,,2,2022
D.J. Reed Jr.,26940,CB,NYJ,1,0,11.3,75.0,100.0,10.7,8.0,0,0,0,0.0,22,70.9,58.0,76.8,,29.9,36.0,0,11.0,0.0,0,0,0,89.6,3,33,33,2,2,4,0,24,0,0.8,8.0,2,2022
Siran Neal,27130,CB,BUF,1,0,,,100.0,,,0,0,0,,4,63.9,68.4,69.6,,66.4,74.0,0,,,0,0,0,0.0,0,3,3,0,0,0,0,0,0,0.0,,2,2022
Devin Bush,27375,LB,PIT,1,0,4.0,0.0,89.5,,17.0,0,0,0,0.0,25,66.7,61.1,74.5,54.8,55.5,76.2,0,,,0,0,0,39.6,0,17,19,0,0,1,0,0,0,0.0,,2,2022
David Long Jr.,27377,CB,LA,1,1,11.4,60.0,100.0,9.0,5.4,0,0,0,0.0,26,48.1,45.1,76.6,,39.2,28.5,0,22.0,20.0,1,0,1,80.4,3,30,30,1,3,5,0,34,4,1.3,11.3,2,2022
Josh Uche,27379,ED,NE,1,0,,,15.8,,,0,0,0,,19,62.5,60.0,74.8,54.2,60.0,,0,,,0,0,0,0.0,0,3,19,0,0,0,0,0,0,0.0,,2,2022
Malik Harrison,28081,LB,BLT,1,0,3.0,100.0,71.4,9.0,9.0,0,0,0,0.0,3,66.6,57.5,75.8,57.3,50.3,25.2,0,5.0,,0,0,0,87.5,1,10,14,0,0,1,0,5,2,0.6,5.0,2,2022
Jerome Baker,28091,LB,MIA,1,0,25.0,0.0,58.8,,18.0,0,0,0,0.0,17,51.1,55.3,79.2,51.2,65.5,74.0,0,,,0,0,0,39.6,0,20,34,0,0,1,0,0,0,0.0,,2,2022
Bilal Nichols,28451,DI,LV,1,0,,,11.8,,,0,0,0,,23,58.4,48.9,0.0,65.1,55.1,68.4,0,,,0,0,1,0.0,0,2,17,0,0,0,0,0,0,0.0,,2,2022
DeShon Elliott,28854,S,DET,1,0,11.7,100.0,96.3,16.7,16.7,0,0,0,0.0,11,47.5,53.3,82.7,80.2,72.0,57.9,0,27.0,20.0,1,0,0,118.8,3,52,54,1,4,3,0,47,12,0.9,15.7,2,2022
Jack Jones,29050,CB,NE,1,0,4.0,0.0,100.0,,11.0,0,0,0,0.0,19,76.1,67.6,74.5,,48.5,36.6,0,,,0,0,0,39.6,0,11,11,0,0,1,0,0,0,0.0,,2,2022
Darius Harris,29188,LB,KC,1,0,,,100.0,,,0,0,0,,16,60.0,67.9,66.2,,63.8,73.2,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,,2,2022
David Long,29367,LB,TEN,1,1,13.0,100.0,84.4,35.0,35.0,0,0,0,0.0,31,54.7,59.6,75.6,60.7,69.6,75.0,0,15.0,0.0,0,0,1,118.8,1,38,45,0,1,1,0,15,2,0.4,15.0,2,2022
